primary_attribution,events,missing_minutes,median_gap_minutes,max_gap_minutes,degraded_overlap_events,v1_input_overlap_events,v1_partial_impact_events,roll_boundary_events,pct_of_gap_events
SHORT_NO_TRADE_OR_DATA_GAP_CANDIDATE,5522,7931,2.0,60,4,53,53,2,69.62552011095701
CME_DAILY_CLOSED_PERIOD_EXACT,1436,86160,61.0,61,7,0,0,0,18.106165678981213
CME_1615_1630_HALT_EXACT,531,7965,16.0,16,3,0,0,0,6.695246501071744
WEEKEND_OR_MULTIDAY_CLOSURE_CANDIDATE,383,1138050,2941.0,4606,9,31,0,0,4.8291514310931785
SPECIAL_SESSION_CLOSE_TO_1800_CANDIDATE,50,15150,301.0,511,0,50,0,0,0.6304375236414071
CME_HALT_PLUS_ADJACENT_GAP_CANDIDATE,6,71,15.0,15,1,0,0,0,0.07565250283696885
OTHER_INTRADAY_OR_SPECIAL_CLOSURE_CANDIDATE,3,850,121.0,646,2,0,0,0,0.037826251418484426
