fold_id,validation_year,strategy,metric,block_length_sessions,repetitions,valid_repetitions,interval_status,seed,estimate_bootstrap_mean,ci_95_lower,ci_95_upper,primary_ci
WF_2022,2022,ALWAYS_FLAT,accuracy,1,2000,2000,DEFINED,20261810,0.5114151535,0.4858100371,0.536490729,False
WF_2022,2022,ALWAYS_FLAT,mean_session_net_usd,1,2000,2000,DEFINED,20261810,0.0,0.0,0.0,False
WF_2022,2022,ALWAYS_FLAT,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20261810,,,,False
WF_2022,2022,ALWAYS_LONG,accuracy,1,2000,2000,DEFINED,20261810,0.4885848465,0.463509271,0.5141899629,False
WF_2022,2022,ALWAYS_LONG,mean_session_net_usd,1,2000,2000,DEFINED,20261810,-32.995487012,-62.8053266932,-5.1178944223,False
WF_2022,2022,ALWAYS_LONG,annualized_session_sharpe,1,2000,2000,DEFINED,20261810,-2.2458879015,-4.204226313,-0.328661142,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,accuracy,1,2000,2000,DEFINED,20261810,0.5036119242,0.4914659905,0.5159371227,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,1,2000,2000,DEFINED,20261810,-17.2624267331,-42.9742191235,8.3845388446,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,1,2000,2000,DEFINED,20261810,-1.3423909253,-3.2603887752,0.6854794258,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,accuracy,1,2000,2000,DEFINED,20261810,0.5114151535,0.4858100371,0.536490729,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,1,2000,2000,DEFINED,20261810,0.0,0.0,0.0,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20261810,,,,False
WF_2022,2022,ALWAYS_FLAT,accuracy,5,2000,2000,DEFINED,20261814,0.5108112875,0.4878402904,0.534121644,True
WF_2022,2022,ALWAYS_FLAT,mean_session_net_usd,5,2000,2000,DEFINED,20261814,0.0,0.0,0.0,True
WF_2022,2022,ALWAYS_FLAT,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20261814,,,,True
WF_2022,2022,ALWAYS_LONG,accuracy,5,2000,2000,DEFINED,20261814,0.4891887125,0.465878356,0.5121597096,True
WF_2022,2022,ALWAYS_LONG,mean_session_net_usd,5,2000,2000,DEFINED,20261814,-32.1377204183,-57.2975896414,-8.4548446215,True
WF_2022,2022,ALWAYS_LONG,annualized_session_sharpe,5,2000,2000,DEFINED,20261814,-2.1705178419,-3.878276559,-0.5672244902,True
WF_2022,2022,STRATIFIED_RANDOM_ACTION,accuracy,5,2000,2000,DEFINED,20261814,0.5040675422,0.492208439,0.5156088371,True
WF_2022,2022,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,5,2000,2000,DEFINED,20261814,-16.8395827888,-38.7158545817,5.4206155378,True
WF_2022,2022,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,5,2000,2000,DEFINED,20261814,-1.2978695371,-2.9525397809,0.4421190568,True
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,accuracy,5,2000,2000,DEFINED,20261814,0.5108112875,0.4878402904,0.534121644,True
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,5,2000,2000,DEFINED,20261814,0.0,0.0,0.0,True
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20261814,,,,True
WF_2022,2022,ALWAYS_FLAT,accuracy,20,2000,2000,DEFINED,20261829,0.5079720018,0.4842448388,0.532923807,False
WF_2022,2022,ALWAYS_FLAT,mean_session_net_usd,20,2000,2000,DEFINED,20261829,0.0,0.0,0.0,False
WF_2022,2022,ALWAYS_FLAT,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20261829,,,,False
WF_2022,2022,ALWAYS_LONG,accuracy,20,2000,2000,DEFINED,20261829,0.4920279982,0.467076193,0.5157551612,False
WF_2022,2022,ALWAYS_LONG,mean_session_net_usd,20,2000,2000,DEFINED,20261829,-28.846096753,-51.939,-6.8370418327,False
WF_2022,2022,ALWAYS_LONG,annualized_session_sharpe,20,2000,2000,DEFINED,20261829,-1.913024189,-3.3286279462,-0.4762832799,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,accuracy,20,2000,2000,DEFINED,20261829,0.5038185753,0.4919934321,0.515826744,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,20,2000,2000,DEFINED,20261829,-14.3514832271,-36.3669681275,6.4666822709,False
WF_2022,2022,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,20,2000,2000,DEFINED,20261829,-1.0938722311,-2.6871621817,0.5295076727,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,accuracy,20,2000,2000,DEFINED,20261829,0.5079720018,0.4842448388,0.532923807,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,20,2000,2000,DEFINED,20261829,0.0,0.0,0.0,False
WF_2022,2022,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20261829,,,,False
WF_2023,2023,ALWAYS_FLAT,accuracy,1,2000,2000,DEFINED,20262810,0.4973778418,0.4730275146,0.521866117,False
WF_2023,2023,ALWAYS_FLAT,mean_session_net_usd,1,2000,2000,DEFINED,20262810,0.0,0.0,0.0,False
WF_2023,2023,ALWAYS_FLAT,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20262810,,,,False
WF_2023,2023,ALWAYS_LONG,accuracy,1,2000,2000,DEFINED,20262810,0.5026221582,0.478133883,0.5269724854,False
WF_2023,2023,ALWAYS_LONG,mean_session_net_usd,1,2000,2000,DEFINED,20262810,-20.0203194,-37.467702,-2.12388,False
WF_2023,2023,ALWAYS_LONG,annualized_session_sharpe,1,2000,2000,DEFINED,20262810,-2.2349257521,-4.1967109783,-0.2307907175,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,accuracy,1,2000,2000,DEFINED,20262810,0.4977076425,0.4839632538,0.5109614682,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,1,2000,2000,DEFINED,20262810,-16.20965116,-31.968609,-1.490223,False
WF_2023,2023,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,1,2000,2000,DEFINED,20262810,-2.0813222141,-4.0597089977,-0.192921794,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,accuracy,1,2000,2000,DEFINED,20262810,0.4973778418,0.4730275146,0.521866117,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,1,2000,2000,DEFINED,20262810,0.0,0.0,0.0,False
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,1,2000,0,UNDEFINED_ZERO_VARIANCE,20262810,,,,False
WF_2023,2023,ALWAYS_FLAT,accuracy,5,2000,2000,DEFINED,20262814,0.497004876,0.4752901007,0.5178581212,True
WF_2023,2023,ALWAYS_FLAT,mean_session_net_usd,5,2000,2000,DEFINED,20262814,0.0,0.0,0.0,True
WF_2023,2023,ALWAYS_FLAT,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20262814,,,,True
WF_2023,2023,ALWAYS_LONG,accuracy,5,2000,2000,DEFINED,20262814,0.502995124,0.4821418788,0.5247098993,True
WF_2023,2023,ALWAYS_LONG,mean_session_net_usd,5,2000,2000,DEFINED,20262814,-18.75705068,-34.699985,-1.789752,True
WF_2023,2023,ALWAYS_LONG,annualized_session_sharpe,5,2000,2000,DEFINED,20262814,-2.0895748735,-3.8822257304,-0.2076927063,True
WF_2023,2023,STRATIFIED_RANDOM_ACTION,accuracy,5,2000,2000,DEFINED,20262814,0.498250593,0.4875523958,0.5089481373,True
WF_2023,2023,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,5,2000,2000,DEFINED,20262814,-15.4394142,-30.46489,0.101266,True
WF_2023,2023,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,5,2000,2000,DEFINED,20262814,-1.980651218,-3.909143902,0.0136078137,True
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,accuracy,5,2000,2000,DEFINED,20262814,0.497004876,0.4752901007,0.5178581212,True
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,5,2000,2000,DEFINED,20262814,0.0,0.0,0.0,True
WF_2023,2023,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20262814,,,,True
WF_2023,2023,ALWAYS_FLAT,accuracy,20,2000,2000,DEFINED,20262829,0.4989340123,0.4777564432,0.521964087,False
WF_2023,2023,ALWAYS_FLAT,mean_session_net_usd,20,2000,2000,DEFINED,20262829,0.0,0.0,0.0,False
WF_2023,2023,ALWAYS_FLAT,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20262829,,,,False
