nyse_session_date,clock_candidate_rows,nyse_policy_session_rows,eligible_rows,partial_input_rows,degraded_context_rows,early_close_session,first_candidate_time,last_candidate_time,excluded_rows
2019-05-06,22,22,22,0,0,False,2019-05-06 13:45:00+00:00,2019-05-06 19:00:00+00:00,0
2019-05-07,22,22,22,0,0,False,2019-05-07 13:45:00+00:00,2019-05-07 19:00:00+00:00,0
2019-05-08,22,22,22,0,0,False,2019-05-08 13:45:00+00:00,2019-05-08 19:00:00+00:00,0
2019-05-09,22,22,22,0,0,False,2019-05-09 13:45:00+00:00,2019-05-09 19:00:00+00:00,0
2019-05-10,22,22,22,0,0,False,2019-05-10 13:45:00+00:00,2019-05-10 19:00:00+00:00,0
2019-05-13,22,22,22,0,0,False,2019-05-13 13:45:00+00:00,2019-05-13 19:00:00+00:00,0
2019-05-14,22,22,22,0,0,False,2019-05-14 13:45:00+00:00,2019-05-14 19:00:00+00:00,0
2019-05-15,22,22,22,0,0,False,2019-05-15 13:45:00+00:00,2019-05-15 19:00:00+00:00,0
2019-05-16,22,22,22,0,0,False,2019-05-16 13:45:00+00:00,2019-05-16 19:00:00+00:00,0
2019-05-17,22,22,22,0,0,False,2019-05-17 13:45:00+00:00,2019-05-17 19:00:00+00:00,0
2019-05-20,22,22,22,0,0,False,2019-05-20 13:45:00+00:00,2019-05-20 19:00:00+00:00,0
2019-05-21,22,22,22,0,0,False,2019-05-21 13:45:00+00:00,2019-05-21 19:00:00+00:00,0
2019-05-22,22,22,22,0,0,False,2019-05-22 13:45:00+00:00,2019-05-22 19:00:00+00:00,0
2019-05-23,22,22,22,0,0,False,2019-05-23 13:45:00+00:00,2019-05-23 19:00:00+00:00,0
2019-05-24,22,22,22,0,0,False,2019-05-24 13:45:00+00:00,2019-05-24 19:00:00+00:00,0
2019-05-27,14,0,0,8,0,False,2019-05-27 13:45:00+00:00,2019-05-27 17:00:00+00:00,14
2019-05-28,22,22,22,0,0,False,2019-05-28 13:45:00+00:00,2019-05-28 19:00:00+00:00,0
2019-05-29,22,22,22,0,0,False,2019-05-29 13:45:00+00:00,2019-05-29 19:00:00+00:00,0
2019-05-30,22,22,22,0,0,False,2019-05-30 13:45:00+00:00,2019-05-30 19:00:00+00:00,0
2019-05-31,22,22,22,0,0,False,2019-05-31 13:45:00+00:00,2019-05-31 19:00:00+00:00,0
2019-06-03,22,22,22,0,0,False,2019-06-03 13:45:00+00:00,2019-06-03 19:00:00+00:00,0
2019-06-04,22,22,22,0,0,False,2019-06-04 13:45:00+00:00,2019-06-04 19:00:00+00:00,0
2019-06-05,22,22,22,0,0,False,2019-06-05 13:45:00+00:00,2019-06-05 19:00:00+00:00,0
2019-06-06,22,22,22,0,0,False,2019-06-06 13:45:00+00:00,2019-06-06 19:00:00+00:00,0
2019-06-07,22,22,22,0,0,False,2019-06-07 13:45:00+00:00,2019-06-07 19:00:00+00:00,0
2019-06-10,22,22,22,0,0,False,2019-06-10 13:45:00+00:00,2019-06-10 19:00:00+00:00,0
2019-06-11,22,22,22,0,0,False,2019-06-11 13:45:00+00:00,2019-06-11 19:00:00+00:00,0
2019-06-12,22,22,22,0,0,False,2019-06-12 13:45:00+00:00,2019-06-12 19:00:00+00:00,0
2019-06-13,22,22,22,0,0,False,2019-06-13 13:45:00+00:00,2019-06-13 19:00:00+00:00,0
2019-06-14,22,22,22,0,0,False,2019-06-14 13:45:00+00:00,2019-06-14 19:00:00+00:00,0
2019-06-17,22,22,22,0,0,False,2019-06-17 13:45:00+00:00,2019-06-17 19:00:00+00:00,0
2019-06-18,22,22,22,0,0,False,2019-06-18 13:45:00+00:00,2019-06-18 19:00:00+00:00,0
2019-06-19,22,22,22,0,0,False,2019-06-19 13:45:00+00:00,2019-06-19 19:00:00+00:00,0
2019-06-20,22,22,22,0,0,False,2019-06-20 13:45:00+00:00,2019-06-20 19:00:00+00:00,0
2019-06-21,22,22,22,0,0,False,2019-06-21 13:45:00+00:00,2019-06-21 19:00:00+00:00,0
2019-06-24,22,22,22,0,0,False,2019-06-24 13:45:00+00:00,2019-06-24 19:00:00+00:00,0
2019-06-25,22,22,22,0,0,False,2019-06-25 13:45:00+00:00,2019-06-25 19:00:00+00:00,0
2019-06-26,22,22,22,0,0,False,2019-06-26 13:45:00+00:00,2019-06-26 19:00:00+00:00,0
2019-06-27,22,22,22,0,0,False,2019-06-27 13:45:00+00:00,2019-06-27 19:00:00+00:00,0
2019-06-28,22,22,22,0,0,False,2019-06-28 13:45:00+00:00,2019-06-28 19:00:00+00:00,0
